id type x y z 
1885 1 3.858750 12.575500 4.506400 
314 1 3.040870 12.348000 9.674190 
1831 2 2.548240 6.201920 6.362050 
1887 2 4.350480 12.942800 4.370820 
517 1 6.832400 9.250150 12.423700 
188 2 0.527170 2.518560 4.504440 
788 2 11.448300 2.523160 4.435190 
1113 1 12.725000 10.284700 13.207900 
1822 1 2.688180 6.399420 3.619640 
316 2 2.807770 11.867800 10.269600 
21 1 2.236970 6.769510 1.802000 
613 1 9.451170 0.424889 12.780300 
1823 2 3.066620 6.652050 2.554450 
839 2 11.478300 3.749680 8.599160 
276 2 0.177959 9.995760 10.659100 
681 1 9.977860 9.037930 1.478700 
590 1 7.944340 3.920600 4.962000 
1830 1 2.886760 5.721540 6.238930 
263 2 3.453370 10.127700 1.891770 
859 2 9.333570 4.544670 11.077900 
240 2 3.215380 2.207680 10.975100 
434 1 6.154270 3.010350 12.889600 
1821 1 3.717820 7.712620 2.460750 
1981 1 1.268250 0.919258 0.857524 
206 1 5.780160 7.185530 5.630480 
208 2 6.396360 6.885730 6.026570 
1824 2 3.039400 6.572250 2.756930 
872 2 12.044900 6.373210 1.080250 
433 1 6.559570 2.976160 11.509300 
376 2 5.557680 0.709718 9.098620 
221 1 4.827910 3.368570 1.981090 
1060 2 12.333100 5.829090 11.128100 
229 1 4.763100 4.680210 9.483900 
230 1 3.384780 5.018440 9.368680 
231 2 4.257420 4.930640 9.411680 
232 2 4.006900 4.962930 9.418570 
435 2 6.347350 2.928470 12.285500 
661 1 10.286200 6.734540 4.214150 
1859 2 0.140362 5.606750 11.104800 
187 2 0.428948 2.497790 4.800180 
245 1 6.729100 10.340800 3.137620 
246 1 6.261730 10.417600 1.915980 
247 2 6.539970 10.340200 2.539870 
248 2 6.490920 10.406400 2.604820 
253 1 3.330710 9.246180 9.130560 
254 1 4.046020 8.010200 8.973650 
255 2 3.682690 8.664120 9.018200 
256 2 3.616210 8.565930 9.109910 
275 2 0.275921 10.178100 10.571400 
261 1 2.983240 10.248100 1.650680 
861 1 12.698000 8.605060 5.311790 
217 1 3.556150 2.877890 11.017300 
269 1 3.336210 9.821050 4.856910 
270 1 4.523730 9.351930 5.491460 
271 2 3.770410 9.632630 5.279480 
272 2 4.101690 9.594620 5.122550 
1057 1 12.797700 6.260530 11.326300 
660 2 12.380700 2.627550 12.216600 
837 1 11.655100 4.262110 8.788870 
313 1 2.662660 11.555900 10.736400 
488 2 7.716460 12.380900 5.517820 
870 1 11.561300 6.712030 0.919584 
298 1 2.052050 9.236590 11.904700 
1841 1 3.781990 6.090150 2.375650 
185 1 0.859651 2.169650 5.609280 
290 1 2.938120 11.284900 7.099030 
291 2 2.229740 11.593000 6.939780 
292 2 2.194860 11.393000 7.254100 
657 1 12.093100 2.805350 12.516800 
64 2 0.235711 10.108100 3.814780 
222 1 5.156060 2.162380 2.525840 
1815 2 1.401690 3.110160 8.471960 
1814 1 1.040830 3.854340 8.739840 
699 2 6.872150 7.163060 9.574820 
315 2 2.757140 12.027200 10.399600 
795 2 9.098140 0.369522 11.856700 
616 2 9.160670 0.413235 11.693000 
787 2 11.253300 2.402340 4.290780 
421 1 10.196400 3.179320 1.305210 
265 1 5.592710 13.267100 0.688841 
5 1 1.654080 2.673570 3.803660 
904 2 11.306200 11.744400 3.525480 
59 2 0.240126 5.617970 11.254400 
880 2 9.863570 8.001110 11.495400 
283 2 1.923630 13.075000 1.721990 
52 2 0.701010 8.250550 7.962660 
518 1 5.557060 9.591450 12.108400 
684 2 9.593130 8.657990 1.587550 
390 1 4.990960 3.218470 6.738500 
1832 2 2.635130 6.186770 6.408230 
238 1 2.559560 2.136890 10.877500 
592 2 8.385540 3.405290 4.885110 
1898 1 0.654363 12.971800 12.716500 
470 1 5.610490 12.902000 8.074180 
471 2 5.171780 13.289000 7.757150 
6 1 0.224555 1.795980 4.179950 
473 1 4.200630 7.108820 12.634700 
486 1 7.127390 12.535700 5.700500 
475 2 4.488090 6.479140 12.677600 
476 2 4.421060 6.374930 12.462900 
51 2 0.637329 8.174770 7.824080 
1118 1 11.187800 12.350600 13.138800 
210 1 3.507370 3.062110 6.021730 
789 1 9.604480 1.056190 6.915970 
203 2 7.200680 0.087776 3.294090 
474 1 4.669780 5.847730 12.548200 
487 2 7.808340 12.398100 5.458700 
60 2 0.158673 5.847380 11.090900 
493 1 6.363140 10.468100 8.407440 
494 1 6.666820 9.847170 7.275010 
495 2 6.518050 10.200000 7.783380 
496 2 6.469650 10.039500 7.754750 
1080 2 12.497900 8.796280 9.289890 
442 1 6.840000 6.773420 3.213980 
392 2 4.652200 2.554800 6.069770 
207 2 6.230100 6.980190 5.923400 
1116 2 12.620500 10.112800 12.481000 
424 2 9.532080 3.508500 1.641540 
589 1 8.735430 2.972900 5.218620 
591 2 8.296050 3.579640 4.996710 
212 2 4.536410 2.950770 5.903690 
1888 2 4.298380 12.932500 4.295350 
50 1 1.069220 8.729720 8.149450 
223 2 4.973890 2.795490 2.335770 
441 1 6.583560 5.869510 2.394100 
297 1 2.666610 9.853040 13.383900 
239 2 3.242640 2.338630 10.991600 
423 2 9.619600 3.582690 1.522270 
682 1 9.181520 8.061440 1.524370 
389 1 4.671760 1.715990 6.016910 
862 1 11.692100 8.579040 6.061240 
615 2 9.226460 0.416167 11.814500 
633 1 7.830970 3.068030 8.829300 
634 1 6.850470 4.077460 8.533850 
635 2 7.358870 3.554900 8.765040 
636 2 7.291130 3.532340 8.721620 
786 1 10.847100 2.767180 4.076760 
23 2 3.073040 6.567680 2.584310 
1643 2 0.168374 7.270190 0.150237 
281 1 2.514800 12.839200 2.090480 
901 1 11.570600 12.546200 4.074660 
1829 1 2.270600 6.876940 6.414840 
1863 2 0.342889 9.853000 3.662520 
299 2 2.388650 9.633040 12.597600 
665 1 8.500280 9.099140 4.854540 
666 1 9.392480 9.392160 5.805340 
667 2 8.862800 9.280330 5.547680 
668 2 8.844950 9.253670 5.337050 
673 1 10.049500 6.181740 7.331850 
674 1 9.544200 6.944250 8.187880 
675 2 9.896000 6.560840 7.722330 
676 2 9.758130 6.558360 7.674810 
796 2 9.339860 0.366769 11.711400 
863 2 12.212700 8.608130 5.684790 
485 1 8.474580 12.260600 5.153300 
