id type x y z 
702 1 10.787400 12.328600 6.432840 
1151 2 2.475240 4.563490 7.708940 
1273 1 5.387120 10.607900 6.131140 
1335 2 5.885920 9.595390 13.132200 
300 2 5.002250 4.815390 9.563060 
984 2 10.600700 1.471640 6.422610 
480 2 6.450170 3.852000 8.683730 
1411 2 0.736524 1.637970 8.299200 
421 1 10.646100 6.922140 11.085500 
1007 2 0.376386 9.520060 11.210100 
540 2 1.824820 3.547320 8.416930 
277 1 9.006920 4.820360 5.480920 
788 2 0.070122 6.882700 7.229980 
387 2 10.805900 11.988300 8.685950 
1892 2 11.418700 7.779250 11.924900 
644 2 8.952310 7.056910 7.869720 
1009 1 0.189789 10.563500 12.296600 
281 1 6.375310 5.917740 3.078930 
745 1 11.239000 3.455090 1.692490 
1916 2 11.484000 5.883270 4.612360 
1591 2 9.519520 9.275660 2.091070 
1393 1 10.520500 11.254400 1.208430 
1996 2 9.035730 5.021380 11.344700 
1954 1 7.057110 11.198800 10.885400 
600 2 0.695732 7.423400 11.694400 
207 2 1.838770 12.769800 0.245983 
856 2 5.852220 2.050670 5.161770 
1834 1 3.825890 8.911480 1.869560 
566 1 8.322430 2.553210 0.731489 
1161 1 3.203170 6.596770 3.838030 
1891 2 0.210911 6.628190 5.748310 
165 1 8.544090 3.796860 11.058200 
1555 2 0.467819 2.576780 5.110450 
3 2 5.260010 12.021600 7.857570 
271 2 4.845860 11.234400 0.776542 
827 2 12.878100 3.639380 10.236100 
446 1 2.194770 12.445100 8.464440 
766 1 7.074730 12.424100 7.568180 
1947 2 11.502300 10.660200 0.806441 
1700 2 6.087210 12.090700 5.002230 
1468 2 1.513630 7.824270 11.917100 
660 2 3.034300 9.657540 5.753470 
520 2 11.159400 8.245860 8.215830 
575 2 0.895534 4.904000 2.965580 
365 1 6.049350 3.127300 9.425750 
598 1 0.880702 4.795450 2.503630 
657 1 12.302300 8.397950 10.988100 
755 2 0.401863 11.240400 7.654960 
331 2 10.647400 12.472000 2.118010 
1300 2 9.206130 8.519950 1.349550 
977 1 7.860470 2.674290 2.962890 
1807 2 5.231980 9.338100 4.813440 
633 1 7.065930 1.726510 6.601410 
341 1 11.130300 8.247780 11.912200 
57 1 6.712780 6.386470 7.908110 
1083 2 7.057610 0.411028 8.902830 
1091 2 13.144400 10.863900 2.955020 
1199 2 3.680170 10.936100 2.902720 
893 1 1.537830 6.755610 10.467600 
416 2 8.910500 10.345800 10.327500 
1915 2 5.581950 8.225950 10.323800 
1453 1 5.205150 7.006750 1.741740 
64 2 0.853130 12.646900 11.887900 
1504 2 4.783680 12.857400 7.391210 
310 1 7.940100 0.228081 1.355040 
1434 1 12.699500 9.880760 1.363320 
968 2 8.273400 12.127600 10.958600 
885 1 2.038610 3.268650 8.304490 
239 2 4.707760 6.681440 1.650780 
922 1 3.932470 4.517620 2.578440 
1760 2 2.529590 2.384380 5.702610 
704 2 8.688450 4.555850 5.218890 
564 2 1.916870 1.778740 8.854550 
1911 2 12.189300 11.778500 4.485860 
1655 2 1.315240 -0.021797 9.280480 
491 2 10.409200 7.736290 10.974000 
425 1 12.900200 5.720690 6.864230 
1244 2 4.486420 4.491270 12.694100 
1441 1 11.299900 0.891047 2.037520 
594 1 10.385000 10.366300 12.605100 
1734 1 5.456680 2.845400 5.458880 
1332 2 1.646570 4.095310 1.831990 
681 1 3.214550 1.485000 5.225350 
1635 2 10.408600 6.494030 5.577640 
948 2 12.953700 9.018570 1.465220 
187 2 5.320700 6.680310 2.244640 
1823 2 8.338520 11.422200 6.114960 
279 2 7.947150 3.132290 9.796430 
216 2 12.847200 11.169800 4.291780 
37 1 9.000300 10.732200 11.256200 
274 1 2.807050 0.365182 6.692900 
1032 2 12.238900 9.235010 7.572230 
437 1 8.483010 12.041100 4.475910 
515 2 0.499571 3.402590 0.957914 
392 2 7.739990 8.302760 4.953320 
339 2 10.897900 12.248800 12.864400 
1783 2 8.105990 11.190500 10.682900 
513 1 0.124672 3.544070 5.471560 
1031 2 9.936790 9.020730 12.966600 
477 1 8.781320 8.266900 1.003960 
408 2 9.963660 1.967430 9.825660 
175 2 2.651670 6.930720 5.525770 
169 1 7.998820 4.730590 3.401640 
978 1 8.469990 1.354180 3.518240 
867 2 11.541000 4.757130 7.662910 
380 2 8.426310 1.262160 2.240570 
1334 1 1.413660 3.511610 4.583710 
1338 1 11.723900 4.589550 4.792830 
1702 1 5.247180 1.789630 0.490800 
1838 1 7.544280 3.388210 5.776100 
128 2 8.899510 0.438872 5.127830 
900 2 2.651910 0.436422 11.170800 
1784 2 0.562401 1.220030 3.448540 
1753 1 12.416000 13.179100 8.394330 
1233 1 8.864830 11.263400 9.697320 
1799 2 11.631500 10.870900 -0.058886 
218 1 7.415010 9.074430 12.321900 
1773 1 12.753000 8.395130 7.193050 
769 1 5.293510 12.517700 8.339710 
1707 2 2.229120 4.363020 7.378980 
1314 1 8.357620 10.564800 5.879320 
389 1 9.528740 9.211450 1.578060 
1112 2 7.372740 8.117640 3.432850 
1516 2 4.882110 2.044090 1.190040 
713 1 11.774800 4.577490 12.534100 
1882 1 2.323790 0.871437 10.916100 
954 1 9.812320 7.476090 7.882570 
627 2 3.517500 10.734800 10.258300 
1010 1 1.197370 12.499700 7.150290 
1278 1 11.359300 7.740400 3.552680 
543 2 12.635800 2.019630 7.219830 
880 2 2.211240 4.312980 13.109800 
1501 1 12.988200 10.628700 7.101620 
1425 1 0.567549 12.893000 10.452100 
1819 2 9.020260 1.518920 12.663000 
1105 1 0.442758 1.443060 3.285320 
606 1 0.691057 3.346310 10.135300 
1034 1 3.411890 9.263870 3.227240 
